species,mass,a6,a5,a4,a3,a2,a1,meta,meso,all
Goliathus_goliathus,1.235907027,-0.688927949,-0.666854907,-0.534024022,-0.630859698,-0.242831457,0.096008274,0.091348111,0.339500343,0.791328069
Coelorrhina_hornimani,0.053078443,-0.673395239,-0.923922656,-0.937141659,-0.971862405,-1.074650839,-0.868551065,-1.027403528,-0.625743973,0.042856739
Dicronorrhina_derbyana,0.32888904,-1.350506203,-1.435250193,-1.343817683,-1.223094791,-1.108715029,-1.070782543,-1.080465746,-0.483737037,-0.118811238
Mecynorrhina_torquata,0.837272703,-0.974149342,-1.178247697,-1.388195614,-0.929104203,-0.73559507,-0.371002649,-0.671226569,0.152122221,0.410470276
Eudicella_euthalia,0.339153196,-1.094487926,-1.258881048,-1.329381757,-1.110702922,-0.745712029,-1.021908275,-1.110791067,-0.307558427,0.043196813
Protaetia_orientalis,0.138302698,-1.412200196,-1.433513395,-1.409685536,-1.212389867,-1.240322477,-1.001407014,-1.18782005,-0.620731061,-0.195612545
Popilia_japonica,-0.882066165,-2.228160357,-2.510655549,-2.562940985,-2.268335959,-2.499737994,-2.149139231,-2.032545325,-1.440809295,-1.137263254
Trypoxylus_dichotomus,0.806179974,-1.560675927,-1.264628494,-1.411252669,-1.005264173,-0.903548069,-0.936314192,-0.709555699,-0.452718308,0.003419311
Dynastes_hercules,1.42078062,-0.916091432,-0.869008487,-0.90244965,-0.381718932,-0.15195199,-0.123566537,-0.129874883,0.136844263,0.6400821
Cyclocephala_borealis,-0.967784297,-2.493829515,-2.492533938,-2.392799829,-1.600192043,-1.539614383,-1.576955047,-1.618238209,-1.34949619,-0.796587008
